酷安|com.coolapk.market
相册|com.sonyericsson.album
快看影视|com.elinkway.infinitemovies
微云|com.qq.qcloud
百度视频|com.baidu.video
万能遥控|com.duokan.phone.remotecontroller
太极|me.weishu.exp
TrackID曲目识别|com.sonyericsson.trackid
火狐浏览器|org.mozilla.firefox
千变动态头像|com.qianbian.touxiang
金山词霸|com.kingsoft
苏宁易购|com.suning.mobile.ebuy
拼多多|com.xunmeng.pinduoduo
驾考宝典-驾照考试驾校理论|com.handsgo.jiakao.android
Microsoft Excel|com.microsoft.office.excel
百度糯米|com.nuomi
土豆视频|com.tudou.android
Pixlr - 照片处理|com.pixlr.express
百度|com.baidu.searchbox
Microsoft PowerPoint|com.microsoft.office.powerpoint
115|com.ylmf.androidclient
旺信-阿里旺旺手机版|com.alibaba.mobileim
应用宝|com.tencent.android.qqdownloader
PicsArt|com.picsart.studio
网易公开课|com.netease.vopen
小猿搜题|com.fenbi.android.solar
探探|com.p1.mobile.putong
LINE camera|jp.naver.linecamera.android
搜图神器|com.example.administrator.searchpicturetool
FV悬浮球-fooView|com.fooview.android.fooview
360超级ROOT|com.qihoo.permmgr
招商银行掌上生活|com.cmbchina.ccd.pluto.cmbActivity
HTC相机:HTC Camera|com.htc.camera
AirDroid|com.sand.airdroid
天气通|sina.mobile.tianqitong
Anyview阅读器|com.anyview
中国银行手机银行|com.chinamworld.bocmbci
菜鸟裹裹|com.cainiao.wireless
触宝电话|com.cootek.smartdialer
唱吧-你的手机KTV|com.changba
懒人听书FM-电台小说收音机|bubei.tingshu
Power Clean|com.lionmobi.powerclean
魔秀桌面|com.moxiu.launcher
360手机卫士|com.qihoo360.mobilesafe
微痕迹|com.pleasure.trace_wechat
转转|com.wuba.zhuanzhuan
小米计算器|com.miui.calculator
NFC卡模拟|com.yuanwofei.cardemulator
360云盘|com.qihoo.yunpan
Weico新浪微博客户端|com.eico.weico
白描-文字识别翻译与扫描|com.uzero.baimiao
极品时刻表|com.bjjpsk.jpskb
QQ输入法|com.tencent.qqpinyin
车来了-实时掌上公交|com.ygkj.chelaile.standard
有道云笔记|com.youdao.note
魔漫相机|com.manboker.headportrait
作业帮-学生搜题利器|com.baidu.homework
网易邮箱大师|com.netease.mail
OneNote|com.microsoft.office.onenote
名片全能王|com.intsig.BizCardReader
Forest 专注森林|cc.forestapp
云闪付|com.unionpay
欧路词典|com.eusoft.eudic
温控拜拜|com.an.killthermal
易信|im.yixin
知乎日报|com.zhihu.daily.android
安兔兔评测3D|com.antutu.benchmark.full
芒果TV|com.hunantv.imgo.activity
Meeye 图标|com.yeyebbc.meeye.iconpack
猫眼|com.sankuai.movie
Faceu激萌|com.lemon.faceu
Blued|com.soft.blued
高德导航（林志玲版1.0）|com.autonavi.xmgd.navigator
语音导出|com.playwfd.wxvexporter
Steam|com.valvesoftware.android.steam.community
铃声多多|com.shoujiduoduo.ringtone
正点闹钟|com.zdworks.android.zdclock
NGA玩家社区|gov.pianzong.androidnga
农行掌上银行|com.android.bankabc
B612咔叽|com.campmobile.snowcamera
三星健康|com.sec.android.app.shealth
搜书大师|com.flyersoft.seekbooks
淘票票|com.taobao.movie.android
